city,city_ascii,lat,lng,country,iso3,population
Pánuco,Panuco,22.0500,-98.1833,Mexico,MEX,33122
Bandırma,Bandirma,40.3542,27.9725,Turkey,TUR,33116
Minamikyūshū,Minamikyushu,31.3783,130.4417,Japan,JPN,33115
Umaria,Umaria,23.5245,80.8365,India,IND,33114
Trowbridge,Trowbridge,51.3200,-2.2100,United Kingdom,GBR,33108
Oława,Olawa,50.9333,17.3000,Poland,POL,33108
Ben Ahmed,Ben Ahmed,33.0714,-7.2436,Morocco,MAR,33105
Mukdahan,Mukdahan,16.5431,104.7228,Thailand,THA,33102
Vitrolles,Vitrolles,43.4600,5.2486,France,FRA,33101
Knokke-Heist,Knokke-Heist,51.3414,3.2869,Belgium,BEL,33097
Água Preta,Agua Preta,-8.7000,-35.3500,Brazil,BRA,33095
Lucera,Lucera,41.5000,15.3333,Italy,ITA,33085
Aranda de Duero,Aranda de Duero,41.6833,-3.6833,Spain,ESP,33084
Calape,Calape,9.8833,123.8833,Philippines,PHL,33079
Rheinfelden (Baden),Rheinfelden (Baden),47.5611,7.7917,Germany,DEU,33074
Schiltigheim,Schiltigheim,48.6078,7.7500,France,FRA,33069
Korschenbroich,Korschenbroich,51.1833,6.5167,Germany,DEU,33066
Bungoōno,Bungoono,32.9781,131.5850,Japan,JPN,33066
Temascalapa,Temascalapa,19.8000,-98.9000,Mexico,MEX,33063
Mushie,Mushie,-3.0196,16.9200,Congo (Kinshasa),COD,33062
Tynda,Tynda,55.1500,124.7167,Russia,RUS,33061
Kamaishi,Kamaishi,39.2758,141.8856,Japan,JPN,33061
Timimoun,Timimoun,29.2500,0.2333,Algeria,DZA,33060
Victoria Falls,Victoria Falls,-17.9333,25.8333,Zimbabwe,ZWE,33060
Ban Ang Sila,Ban Ang Sila,13.3364,100.9278,Thailand,THA,33053
San Luis,San Luis,22.2828,-83.7681,Cuba,CUB,33039
Woodstock,Woodstock,34.1026,-84.5090,United States,USA,33039
Wakabadai,Wakabadai,45.4000,141.7000,Japan,JPN,33036
Razgrad,Razgrad,43.5409,26.5288,Bulgaria,BGR,33034
Puebloviejo,Puebloviejo,10.9942,-74.2833,Colombia,COL,33030
Sanarate,Sanarate,14.7950,-90.1922,Guatemala,GTM,33025
Jishi,Jishi,35.8511,102.4788,China,CHN,33022
Shingū,Shingu,33.7139,130.4314,Japan,JPN,33017
Agen,Agen,44.2049,0.6212,France,FRA,33012
Florence,Florence,38.9900,-84.6470,United States,USA,33004
Panjakent,Panjakent,39.5031,67.6150,Tajikistan,TJK,33000
Forbe Oroya,Forbe Oroya,-11.5333,-75.9000,Peru,PER,33000
Laojiezi,Laojiezi,26.8600,103.1306,China,CHN,32998
Leamington,Leamington,42.0667,-82.5833,Canada,CAN,32991
Mazarrón,Mazarron,37.5983,-1.3139,Spain,ESP,32988
Eastchester,Eastchester,40.9536,-73.8134,United States,USA,32983
Rio das Pedras,Rio das Pedras,-22.8428,-47.6058,Brazil,BRA,32982
Năvodari,Navodari,44.3208,28.6125,Romania,ROU,32981
Descalvado,Descalvado,-21.9039,-47.6189,Brazil,BRA,32980
Castro-Urdiales,Castro-Urdiales,43.3844,-3.2150,Spain,ESP,32975
Asse,Asse,50.9000,4.2000,Belgium,BEL,32958
Northbrook,Northbrook,42.1292,-87.8353,United States,USA,32958
Elesvaram,Elesvaram,17.2833,82.1000,India,IND,32957
Dellys,Dellys,36.9167,3.8833,Algeria,DZA,32954
Chernushka,Chernushka,56.5000,56.0833,Russia,RUS,32952
Les Mureaux,Les Mureaux,48.9875,1.9172,France,FRA,32949
Djenné,Djenne,13.9000,-4.5500,Mali,MLI,32944
Maragogi,Maragogi,-9.0122,-35.2225,Brazil,BRA,32940
Câmpina,Campina,45.1281,25.7383,Romania,ROU,32935
Dumalinao,Dumalinao,7.8167,123.3667,Philippines,PHL,32928
Vác,Vac,47.7753,19.1311,Hungary,HUN,32927
Yamanashi,Yamanashi,35.6922,138.6853,Japan,JPN,32925
Nogent-sur-Marne,Nogent-sur-Marne,48.8375,2.4833,France,FRA,32922
Baraguá,Baragua,21.6819,-78.6244,Cuba,CUB,32909
Fatehpur Sīkri,Fatehpur Sikri,27.0911,77.6611,India,IND,32905
Amasya,Amasya,40.6500,35.8333,Turkey,TUR,32900
Cradock,Cradock,-32.1833,25.6167,South Africa,ZAF,32898
West Little River,West Little River,25.8570,-80.2367,United States,USA,32897
Fair Lawn,Fair Lawn,40.9359,-74.1177,United States,USA,32896
Arteijo,Arteijo,43.3044,-8.5114,Spain,ESP,32894
Castelfranco Emilia,Castelfranco Emilia,44.5967,11.0528,Italy,ITA,32894
Santa Maria Capua Vetere,Santa Maria Capua Vetere,41.0833,14.2500,Italy,ITA,32893
Fraijanes,Fraijanes,14.4622,-90.4386,Guatemala,GTM,32889
St. Charles,St. Charles,41.9193,-88.3109,United States,USA,32887
Curralinho,Curralinho,-1.8139,-49.7950,Brazil,BRA,32881
Huntington Station,Huntington Station,40.8446,-73.4050,United States,USA,32866
Massafra,Massafra,40.5833,17.1167,Italy,ITA,32861
Mataquescuintla,Mataquescuintla,14.5336,-90.1838,Guatemala,GTM,32860
Sō,So,31.6536,131.0192,Japan,JPN,32849
Fairmont,Fairmont,39.4768,-80.1491,United States,USA,32847
Watari,Watari,38.0378,140.8528,Japan,JPN,32846
San Felipe,San Felipe,21.4833,-101.2167,Mexico,MEX,32831
Campos Novos,Campos Novos,-27.4019,-51.2250,Brazil,BRA,32824
Kuji,Kuji,40.1903,141.7753,Japan,JPN,32813
Presidente Figueiredo,Presidente Figueiredo,-2.0172,-60.0250,Brazil,BRA,32812
Pilar,Pilar,-26.8569,-58.3039,Paraguay,PRY,32810
Gandu,Gandu,-13.7439,-39.4869,Brazil,BRA,32809
Baraawe,Baraawe,1.1133,44.0303,Somalia,SOM,32800
Ticul,Ticul,20.3953,-89.5339,Mexico,MEX,32796
Marignane,Marignane,43.4160,5.2145,France,FRA,32793
Slobodskoy,Slobodskoy,58.7242,50.1612,Russia,RUS,32793
