iso3,city,country,population,city_ascii,lng,lat
UZB,Namangan,Uzbekistan,626120,Namangan,71.6725,40.9953
YEM,Ta‘izz,Yemen,615467,Ta`izz,44.0219,13.5789
AFG,Kandahār,Afghanistan,614254,Kandahar,65.7053,31.6078
MYS,Kuantan,Malaysia,607778,Kuantan,103.3333,3.8167
ARG,San Miguel de Tucumán,Argentina,605767,San Miguel de Tucuman,-65.2167,-26.8167
SWE,Gothenburg,Sweden,604829,Gothenburg,11.981,57.6717
PHL,Bacolod,Philippines,600783,Bacolod,122.9509,10.6765
DEU,Leipzig,Germany,597215,Leipzig,12.3833,51.3333
ZAF,Durban,South Africa,595061,Durban,31.025,-29.8583
SAU,Al Ḩillah,Saudi Arabia,594605,Al Hillah,46.7564,23.4895
ARG,Mar del Plata,Argentina,593337,Mar del Plata,-57.55,-38
COL,Pereira,Colombia,590554,Pereira,-75.6946,4.8143
DEU,Dortmund,Germany,587696,Dortmund,7.4653,51.5139
COL,Bucaramanga,Colombia,581130,Bucaramanga,-73.1161,7.1186
ITA,Genoa,Italy,580097,Genoa,8.934,44.4072
SAU,Aţ Ţā’if,Saudi Arabia,579970,At Ta'if,40.4167,21.2667
SDN,Port Sudan,Sudan,579942,Port Sudan,37.2164,19.6158
ESP,Málaga,Spain,577405,Malaga,-4.42,36.7194
JOR,Irbid,Jordan,569068,Irbid,35.85,32.5556
MAC,Macau,Macau,568700,Macau,113.545,22.203
VEN,Ciudad Bolívar,Venezuela,567953,Ciudad Bolivar,-63.55,8.1167
GBR,Bristol,United Kingdom,567111,Bristol,-2.5833,51.45
DEU,Bremen,Germany,566573,Bremen,8.8089,53.0769
AGO,Benguela,Angola,561775,Benguela,13.4167,-12.55
AFG,Herāt,Afghanistan,556205,Herat,62.1792,34.3738
DEU,Dresden,Germany,554907,Dresden,13.74,51.05
PER,Chiclayo,Peru,552508,Chiclayo,-79.8366,-6.763
AGO,Cabinda,Angola,550000,Cabinda,12.2,-5.5667
YEM,Al Ḩudaydah,Yemen,548433,Al Hudaydah,42.9511,14.8022
SAU,Tabūk,Saudi Arabia,547957,Tabuk,36.555,28.3838
GBR,Manchester,United Kingdom,547627,Manchester,-2.2453,53.4794
UZB,Samarkand,Uzbekistan,546303,Samarkand,66.9597,39.6542
IRQ,An Nāşirīyah,Iraq,541600,An Nasiriyah,46.2575,31.0439
SDN,Kassala,Sudan,536009,Kassala,36.4,15.45
ARG,Salta,Argentina,535303,Salta,-65.4106,-24.7883
POL,Poznań,Poland,533830,Poznan,16.9336,52.4083
SEN,Touba,Senegal,529176,Touba,-15.8833,14.8667
ZMB,Ndola,Zambia,528330,Ndola,28.6337,-12.9683
EGY,Port Said,Egypt,524433,Port Said,32.2833,31.25
MAR,Meknès,Morocco,520428,Meknes,-5.55,33.8833
KOR,Pohang,South Korea,520305,Pohang,129.365,36.0322
FRA,Lyon,France,518635,Lyon,4.84,45.76
EGY,Suez,Egypt,516959,Suez,32.5333,29.9667
VEN,Maturín,Venezuela,514046,Maturin,-63.1832,9.7457
GBR,Liverpool,United Kingdom,513441,Liverpool,-2.9919,53.4075
BLR,Homyel’,Belarus,510300,Homyel',30.9833,52.4417
UKR,Sevastopol,Ukraine,509992,Sevastopol,33.5333,44.6
YEM,Aden,Yemen,507355,Aden,45.0333,12.8
UKR,Mykolaiv,Ukraine,498748,Mykolaiv,32,46.9667
PER,Chimbote,Peru,497875,Chimbote,-78.5936,-9.0745
KAZ,Qaraghandy,Kazakhstan,497777,Qaraghandy,73.1167,49.8
MYS,Johor Bahru,Malaysia,497097,Johor Bahru,103.7611,1.4556
MAR,Oujda-Angad,Morocco,494252,Oujda-Angad,-1.9114,34.6867
SDN,Nyala,Sudan,492984,Nyala,24.8833,12.05
MYS,Kota Bharu,Malaysia,491237,Kota Bharu,102.25,6.1333
VNM,Vinh,Vietnam,490000,Vinh,105.6922,18.6733
GBR,Edinburgh,United Kingdom,488050,Edinburgh,-3.189,55.953
FRA,Toulouse,France,486828,Toulouse,1.444,43.6045
BGD,Sylhet,Bangladesh,479837,Sylhet,91.8667,24.9
PER,Piura,Peru,473025,Piura,-80.6253,-5.2008
CAN,Kitchener,Canada,470015,Kitchener,-80.4728,43.4186
AFG,Mazār-e Sharīf,Afghanistan,469247,Mazar-e Sharif,67.1167,36.7
SAU,Buraydah,Saudi Arabia,467410,Buraydah,43.9667,26.3333
GBR,Leicester,United Kingdom,464395,Leicester,-1.1319,52.6344
POL,Gdańsk,Poland,464254,Gdansk,18.6333,54.3667
PHL,Angeles City,Philippines,462928,Angeles City,120.5847,15.1472
ESP,Murcia,Spain,460349,Murcia,-1.1303,37.9861
MYS,Melaka,Malaysia,455300,Melaka,102.2511,2.1889
MYS,Kota Kinabalu,Malaysia,452058,Kota Kinabalu,116.0725,5.975
ISR,Tel Aviv-Yafo,Israel,451523,Tel Aviv-Yafo,34.78,32.08
DZA,Constantine,Algeria,448374,Constantine,6.6147,36.365
BGD,Rājshāhi,Bangladesh,448087,Rajshahi,88.6,24.3667
TWN,Hsinchu,Taiwan,445635,Hsinchu,120.9714,24.8047
CUB,Santiago de Cuba,Cuba,444851,Santiago de Cuba,-75.8294,20.0217
UZB,Andijon,Uzbekistan,441700,Andijon,72.35,40.7
COD,Bukavu,Congo (Kinshasa),436779,Bukavu,28.8428,-2.4908
MOZ,Beira,Mozambique,436240,Beira,34.85,-19.8333
KOR,Jeju,South Korea,435413,Jeju,126.5219,33.5097
CHE,Zürich,Switzerland,434008,Zurich,8.5411,47.3744
ZAF,Welkom,South Africa,431944,Welkom,26.7208,-27.9831
TUN,Sidi Bouzid,Tunisia,429912,Sidi Bouzid,9.4858,35.0381
PER,Cusco,Peru,428450,Cusco,-71.9833,-13.5222
COD,Likasi,Congo (Kinshasa),422535,Likasi,26.7333,-10.9833
MAR,Agadir,Morocco,421844,Agadir,-9.5833,30.4167
TUR,Elazığ,Turkey,421726,Elazig,39.2167,38.6667
MMR,Hpa-An,Myanmar,421525,Hpa-An,97.6333,16.8906
MYS,Seremban,Malaysia,419536,Seremban,101.9381,2.7297
ESP,Palma,Spain,419366,Palma,2.65,39.5667
SDN,El Obeid,Sudan,418280,El Obeid,30.2167,13.1833
COD,Kolwezi,Congo (Kinshasa),418000,Kolwezi,25.4667,-10.7167
TZA,Arusha,Tanzania,416442,Arusha,36.6833,-3.3667
KEN,Kisumu,Kenya,409928,Kisumu,34.75,-0.1
TKM,Türkmenabat,Turkmenistan,408906,Turkmenabat,63.5667,39.1
ARG,Santa Fe,Argentina,405683,Santa Fe,-60.7,-31.6333
POL,Szczecin,Poland,403833,Szczecin,14.5553,53.4247
CAN,Halifax,Canada,403131,Halifax,-63.5906,44.6475
UGA,Mbale,Uganda,402368,Mbale,34.175,1.0806
MYS,Sandakan,Malaysia,396290,Sandakan,118.1173,5.8388
VNM,Thanh Hóa,Vietnam,393294,Thanh Hoa,105.7764,19.8075
AGO,Saurimo,Angola,393000,Saurimo,20.3934,-9.6589
VNM,Nha Trang,Vietnam,392279,Nha Trang,109.1908,12.2495
EGY,Asyūţ,Egypt,389307,Asyut,31.1714,27.1869
ITA,Bologna,Italy,389261,Bologna,11.3428,44.4939
KAZ,Aqtöbe,Kazakhstan,387807,Aqtobe,57.2297,50.2836
TZA,Mwanza,Tanzania,385810,Mwanza,32.9,-2.5167
NZL,Christchurch,New Zealand,383200,Christchurch,172.6365,-43.5309
