city,city_ascii,lat,lng,country,iso3,population
Nuku‘alofa,Nuku`alofa,-21.1347,-175.2083,Tonga,TON,23221
Ashgabat,Ashgabat,37.95,58.3833,Turkmenistan,TKM,19426
Nuuk,Nuuk,64.175,-51.7333,Greenland,GRL,18326
Belmopan,Belmopan,17.25,-88.7675,Belize,BLZ,17222
Roseau,Roseau,15.3,-61.3833,Dominica,DMA,16582
Basseterre,Basseterre,17.2983,-62.7342,Saint Kitts And Nevis,KNA,13220
Tórshavn,Torshavn,62,-6.7833,Faroe Islands,FRO,13326
Pago Pago,Pago Pago,-14.274,-170.7046,American Samoa,ASM,12576
Valletta,Valletta,35.8978,14.5125,Malta,MLT,6444
Gaza,Gaza,31.5069,34.456,Gaza Strip,XGZ,
Grand Turk,Grand Turk,21.4664,-71.136,Turks And Caicos Islands,TCA,5801
Palikir,Palikir,6.9178,158.185,Federated States of Micronesia,FSM,6227
Funafuti,Funafuti,-8.5243,179.1942,Tuvalu,TUV,6025
Vaduz,Vaduz,47.1397,9.5219,Liechtenstein,LIE,5668
Lobamba,Lobamba,-26.4465,31.2064,Swaziland,SWZ,5800
Avarua,Avarua,-21.207,-159.771,Cook Islands,COK,5445
Saint George’s,Saint George's,12.0444,-61.7417,Grenada,GRD,4315
San Marino,San Marino,43.932,12.4484,San Marino,SMR,4040
Al Quds,Al Quds,31.7764,35.2269,West Bank,XWB,
Capitol Hill,Capitol Hill,15.2137,145.7546,Northern Mariana Islands,MNP,2500
Stanley,Stanley,-51.7,-57.85,Falkland Islands (Islas Malvinas),FLK,2213
Vatican City,Vatican City,41.9033,12.4534,Vatican City,VAT,825
Alofi,Alofi,-19.056,-169.921,Niue,NIU,1611
Basse-Terre,Basse-Terre,16.0104,-61.7055,Guadeloupe,GLP,307
Hagåtña,Hagta,13.4745,144.7504,Guam,GUM,1051
Marigot,Marigot,18.0706,-63.0847,Saint Martin,MAF,
Jamestown,Jamestown,-15.9251,-5.7179,"Saint Helena, Ascension, And Tristan Da Cunha",SHN,714
Brades,Brades,16.7928,-62.2106,Montserrat,MSR,391
Philipsburg,Philipsburg,18.0256,-63.0492,Sint Maarten,SXM,
Yaren,Yaren,-0.5477,166.9209,Nauru,NRU,
Pristina,Pristina,42.6633,21.1622,Kosovo,XKS,
Gustavia,Gustavia,17.8958,-62.8508,Saint Barthelemy,BLM,
Road Town,Road Town,18.4167,-64.6167,British Virgin Islands,VGB,
Ngerulmud,Ngerulmud,7.5006,134.6242,Palau,PLW,271
Saint-Pierre,Saint-Pierre,46.7811,-56.1764,Saint Pierre And Miquelon,SPM,
The Valley,The Valley,18.2167,-63.05,Anguilla,AIA,
Mata-Utu,Mata-Utu,-13.2825,-176.1736,Wallis And Futuna,WLF,
Kingston,Kingston,-29.0569,167.9617,Norfolk Island,NFK,
Longyearbyen,Longyearbyen,78.2167,15.6333,Svalbard,XSV,
Tifariti,Tifariti,26.0928,-10.6089,Morocco,MAR,
Adamstown,Adamstown,-25.0667,-130.0833,Pitcairn Islands,PCN,
Flying Fish Cove,Flying Fish Cove,-10.4167,105.7167,Christmas Island,CXR,
King Edward Point,King Edward Point,-54.2833,-36.5,South Georgia And South Sandwich Islands,SGS,
San Juan,San Juan,18.4037,-66.0636,Puerto Rico,PRI,323279
